sub_id,age,vocab_acc
01031601,3.92,70
01031702,2.53,55.00000000000001
01031703,3.47,75
01051701,3.53,65
01051702,2.69,60
01051704,3.53,60
01051705,3.17,65
01061704,3.76,65
01061705,3.27,85
01061707,2.55,80
01121601,3.74,70
01121702,3.87,85
01121703,3.84,75
01121704,3.13,60
01121706,2.59,80
01121708,2.8,40
01131701,2.78,55.00000000000001
01131702,3.73,80
01151701,3.52,65
01171702,2.35,65
01191703,3.87,85
01191705,2.5,65
01271702,3.99,70
01271703,2.25,25
01271704,3.04,70
01311702,2.96,75
01311703,3.47,60
01311704,3.7,65
02071701,3.9,75
02071702,3.14,40
02071704,2.99,40
02091702,3.42,35
02091703,3.85,80
02101702,3.09,75
02101703,3.02,75
02101704,3.34,80
02101705,2.33,55.00000000000001
02201701,3.27,50
02201702,3.06,60
02201703,2.55,65
02201704,3.81,80
02201705,2.61,75
02201706,3.28,85
02201707,2.7,40
02201710,4.77,80
02201711,3.62,80
02201714,3.15,90
02281701,2.77,75
02281702,3.26,85
03021703,3.52,35
03021704,2.41,65
03021705,2.53,70
03021706,2.69,60
03021707,3.47,65
03031701,3.04,55.00000000000001
03211702,3.57,55.00000000000001
03211703,3.08,85
03301702,3.53,85
03301703,2.26,50
03301704,3.69,75
03301705,3.9,55.00000000000001
03311701,2.86,55.00000000000001
03311702,3.29,85
03311703,3.18,65
03311704,2.19,50
03311705,2.95,65
04041701,2.64,50
04041702,2.72,65
04041703,2.77,55.00000000000001
04041704,3.42,85
04041705,2.81,65
04041706,3.34,85
04041707,3.34,90
04041708,2.61,75
04061701,3.11,90
04111701,3.17,80
04111703,3.67,60
04111704,3.54,60
04111705,3.67,65
04111709,3.7,75
04111710,4,85
04181702,2.28,75
05241701,3.61,65
05241703,3.65,60
05241705,2.54,60
05241706,2.3,60
05241707,3.97,65
05311701,3.43,70
05311702,2.65,30
05311703,3.09,65
06011701,3.3,80
06011702,3.3,85
06011703,2,45
06011704,2.39,70
06011705,2.85,55.00000000000001
06011706,3.25,70
06011707,3.25,85
06011708,2.02,65
06021702,3.02,30
06021703,3.52,50
06021704,2.58,60
06021705,2.91,65
06041703,2.48,45
06041706,3.83,95
06041707,3.96,65
06041710,2.76,45
06041711,2.15,25
06041712,3.28,75
06051701,3.7,80
06051702,3.61,60
06051703,2.58,60
06051704,3.6,70
06061701,3.78,80
06061702,3.69,75
06061703,2.25,75
06061704,2.16,75
06061705,3.01,70
06071701,2.81,20
06071702,3.42,70
06071703,3.3,55.00000000000001
06071704,2.54,30
06081701,2.79,45
06081702,2.6,75
11161601,3,85
11161602,3.69,55.00000000000001
11161603,3.34,80
11161605,2.28,55.00000000000001
1191601,2.07,40
1191603,2.45,75
1191604,3.05,80
1261601,3.71,65
1261602,2.38,50
1261603,3.64,75
1261604,2.5,70
1261605,3.4,60
1261607,3.98,76.19047619047619
1281602,3.19,70
1281603,3.61,80
1281604,2.49,85
01031601,3.92,70
01031702,2.53,55.00000000000001
01031703,3.47,75
01051701,3.53,65
01051702,2.69,60
01051704,3.53,60
01051705,3.17,65
01061704,3.76,65
01061705,3.27,85
01061707,2.55,80
01121601,3.74,70
01121702,3.87,85
01121703,3.84,75
01121704,3.13,60
01121706,2.59,80
01121708,2.8,40
01131701,2.78,55.00000000000001
01131702,3.73,80
01151701,3.52,65
01171702,2.35,65
01191703,3.87,85
01191705,2.5,65
01271702,3.99,70
01271703,2.25,25
01271704,3.04,70
01311702,2.96,75
01311703,3.47,60
01311704,3.7,65
02071701,3.9,75
02071702,3.14,40
02071704,2.99,40
02091702,3.42,35
02091703,3.85,80
02101702,3.09,75
02101703,3.02,75
02101704,3.34,80
02101705,2.33,55.00000000000001
02201701,3.27,50
02201702,3.06,60
02201703,2.55,65
02201704,3.81,80
02201705,2.61,75
02201706,3.28,85
02201707,2.7,40
02201710,4.77,80
02201711,3.62,80
02201714,3.15,90
02281701,2.77,75
02281702,3.26,85
03021703,3.52,35
03021704,2.41,65
03021705,2.53,70
03021706,2.69,60
03021707,3.47,65
03031701,3.04,55.00000000000001
03211702,3.57,55.00000000000001
03211703,3.08,85
03301702,3.53,85
03301703,2.26,50
03301704,3.69,75
03301705,3.9,55.00000000000001
03311701,2.86,55.00000000000001
03311702,3.29,85
03311703,3.18,65
03311704,2.19,50
03311705,2.95,65
04041701,2.64,50
04041702,2.72,65
04041703,2.77,55.00000000000001
04041704,3.42,85
04041705,2.81,65
04041706,3.34,85
04041707,3.34,90
04041708,2.61,75
04061701,3.11,90
04111701,3.17,80
04111703,3.67,60
04111704,3.54,60
04111705,3.67,65
04111709,3.7,75
04111710,4,85
04181702,2.28,75
05241701,3.61,65
05241703,3.65,60
05241705,2.54,60
05241706,2.3,60
05241707,3.97,65
05311701,3.43,70
05311702,2.65,30
05311703,3.09,65
06011701,3.3,80
06011702,3.3,85
06011703,2,45
06011704,2.39,70
06011705,2.85,55.00000000000001
06011706,3.25,70
06011707,3.25,85
06011708,2.02,65
06021702,3.02,30
06021703,3.52,50
06021704,2.58,60
06021705,2.91,65
06041703,2.48,45
06041706,3.83,95
06041707,3.96,65
06041710,2.76,45
06041711,2.15,25
06041712,3.28,75
06051701,3.7,80
06051702,3.61,60
06051703,2.58,60
06051704,3.6,70
11161601,3,85
11161602,3.69,55.00000000000001
11161603,3.34,80
11161605,2.28,55.00000000000001
1191601,2.07,40
1191603,2.45,75
1191604,3.05,80
12131601,3.31,75
1261601,3.71,65
1261602,2.38,50
1261603,3.64,75
1261604,2.5,70
1261605,3.4,60
1261607,3.98,75
1281602,3.19,70
1281603,3.61,80
1281604,2.49,85
