"SubjectID","Correct","Object_Asked","Correct_Image","Incorrect_Image"
"Mmm","Yes","hatchet","Content/hatchet/1.jpg","NA"
"Mmm","No","elephant","Content/elephant/1.jpg","Content/turtle/1.jpg"
"Mmm","No","flamingo","Content/flamingo/2.jpg","Content/lion/0.jpg"
"1281604","Yes","hatchet","Content/hatchet/1.jpg","NA"
"1281604","Yes","elephant","Content/elephant/0.jpg","NA"
"1281604","Yes","flamingo","Content/flamingo/1.jpg","NA"
"1281604","Yes","duck","Content/duck/1.jpg","NA"
"1281604","Yes","hug","Content/hug/1.jpg","NA"
"1281604","Yes","broccoli","Content/broccoli/0.jpg","NA"
"1281604","Yes","panda","Content/panda/0.jpg","NA"
"1281604","Yes","hexagon","Content/hexagon/0.jpg","NA"
"1281604","No","parallelogram","Content/parallelogram/0.jpg","Content/pentagon/1.jpg"
"1281604","No","carpenter","Content/carpenter/1.jpg","Content/dentist/1.jpg"
"1281604","Yes","drum","Content/drum/1.jpg","NA"
"1281604","No","chef","Content/chef/1.jpg","Content/dentist/1.jpg"
"1281604","Yes","bear","Content/bear/0.jpg","NA"
"1281604","Yes","harp","Content/harp/0.jpg","NA"
"1281604","Yes","vase","Content/vase/1.jpg","NA"
"1281604","Yes","globe","Content/globe/1.jpg","NA"
"1281604","Yes","triangle","Content/triangle/0.jpg","NA"
"1281604","Yes","vegetable","Content/vegetable/1.jpg","NA"
"1281604","Yes","beverage","Content/beverage/2.jpg","NA"
"1281604","Yes","goat","Content/goat/1.jpg","NA"
"1281603","No","hatchet","Content/hatchet/1.jpg","Content/wrench/1.jpg"
"1281603","Yes","elephant","Content/elephant/0.jpg","NA"
"1281603","Yes","flamingo","Content/flamingo/0.jpg","NA"
"1281603","Yes","duck","Content/duck/1.jpg","NA"
"1281603","Yes","hug","Content/hug/1.jpg","NA"
"1281603","Yes","broccoli","Content/broccoli/0.jpg","NA"
"1281603","Yes","panda","Content/panda/0.jpg","NA"
"1281603","Yes","hexagon","Content/hexagon/0.jpg","NA"
"1281603","No","parallelogram","Content/parallelogram/0.jpg","Content/pentagon/1.jpg"
"1281603","No","carpenter","Content/carpenter/1.jpg","Content/athlete/0.jpg"
"1281603","Yes","drum","Content/drum/1.jpg","NA"
"1281603","Yes","chef","Content/chef/1.jpg","NA"
"1281603","Yes","bear","Content/bear/0.jpg","NA"
"1281603","Yes","harp","Content/harp/0.jpg","NA"
"1281603","Yes","vase","Content/vase/1.jpg","NA"
"1281603","Yes","globe","Content/globe/1.jpg","NA"
"1281603","Yes","triangle","Content/triangle/0.jpg","NA"
"1281603","Yes","vegetable","Content/vegetable/0.jpg","NA"
"1281603","No","beverage","Content/beverage/0.jpg","Content/vest/0.jpg"
"1281603","Yes","goat","Content/goat/1.jpg","NA"
"1281602","No","hatchet","Content/hatchet/0.jpg","Content/kiwi/1.jpg"
"1281602","Yes","elephant","Content/elephant/1.jpg","NA"
"1281602","Yes","flamingo","Content/flamingo/1.jpg","NA"
"1281602","Yes","duck","Content/duck/0.jpg","NA"
"1281602","No","hug","Content/hug/0.jpg","Content/pull/1.jpg"
"1281602","Yes","broccoli","Content/broccoli/0.jpg","NA"
"1281602","Yes","panda","Content/panda/0.jpg","NA"
"1281602","No","hexagon","Content/hexagon/1.jpg","Content/circle/0.jpg"
"1281602","Yes","parallelogram","Content/parallelogram/1.jpg","NA"
"1281602","Yes","carpenter","Content/carpenter/0.jpg","NA"
"1281602","Yes","drum","Content/drum/0.jpg","NA"
"1281602","No","chef","Content/chef/0.jpg","Content/athlete/0.jpg"
"1281602","Yes","bear","Content/bear/1.jpg","NA"
"1281602","Yes","harp","Content/harp/1.jpg","NA"
"1281602","Yes","vase","Content/vase/0.jpg","NA"
"1281602","No","globe","Content/globe/0.jpg","Content/beverage/2.jpg"
"1281602","Yes","triangle","Content/triangle/1.jpg","NA"
"1281602","Yes","vegetable","Content/vegetable/1.jpg","NA"
"1281602","No","beverage","Content/beverage/2.jpg","Content/syringe/1.jpg"
"1281602","Yes","goat","Content/goat/0.jpg","NA"
"1281601","No","hatchet","Content/hatchet/0.jpg","Content/vest/1.jpg"
"1281601","Yes","elephant","Content/elephant/1.jpg","NA"
"1281601","Yes","flamingo","Content/flamingo/1.jpg","NA"
"1281601","Yes","duck","Content/duck/0.jpg","NA"
"1281601","Yes","hug","Content/hug/0.jpg","NA"
"1281601","Yes","broccoli","Content/broccoli/0.jpg","NA"
"1281601","Yes","panda","Content/panda/0.jpg","NA"
"1281601","No","hexagon","Content/hexagon/1.jpg","Content/circle/0.jpg"
"1281601","Yes","parallelogram","Content/parallelogram/1.jpg","NA"
"1281601","No","carpenter","Content/carpenter/0.jpg","Content/chef/0.jpg"
"1281601","Yes","drum","Content/drum/0.jpg","NA"
"1281601","Yes","chef","Content/chef/0.jpg","NA"
"1281601","Yes","bear","Content/bear/1.jpg","NA"
"1281601","Yes","harp","Content/harp/1.jpg","NA"
"1281601","No","vase","Content/vase/0.jpg","Content/vest/0.jpg"
"1281601","No","globe","Content/globe/0.jpg","Content/vest/1.jpg"
"1281601","Yes","triangle","Content/triangle/1.jpg","NA"
"1281601","Yes","vegetable","Content/vegetable/1.jpg","NA"
"1281601","No","beverage","Content/beverage/2.jpg","Content/vest/1.jpg"
"1281601","Yes","goat","Content/goat/0.jpg","NA"
"1261607","No","hatchet","Content/hatchet/0.jpg","Content/vest/0.jpg"
"1261607","Yes","elephant","Content/elephant/1.jpg","NA"
"1261607","Yes","flamingo","Content/flamingo/2.jpg","NA"
"1261607","Yes","duck","Content/duck/0.jpg","NA"
"1261607","Yes","hug","Content/hug/0.jpg","NA"
"1261607","Yes","broccoli","Content/broccoli/0.jpg","NA"
"1261607","Yes","panda","Content/panda/0.jpg","NA"
"1261607","No","hexagon","Content/hexagon/1.jpg","Content/parallelogram/0.jpg"
"1261607","Yes","parallelogram","Content/parallelogram/1.jpg","NA"
"1261607","No","carpenter","Content/carpenter/0.jpg","Content/chef/1.jpg"
"1261607","Yes","drum","Content/drum/0.jpg","NA"
"1261607","Yes","chef","Content/chef/0.jpg","NA"
"1261607","No","bear","Content/bear/1.jpg","Content/lion/0.jpg"
"1261607","Yes","harp","Content/harp/1.jpg","NA"
"1261607","No","vase","Content/vase/0.jpg","Content/vest/1.jpg"
"1261607","Yes","globe","Content/globe/0.jpg","NA"
"1261607","Yes","triangle","Content/triangle/1.jpg","NA"
"1261607","Yes","vegetable","Content/vegetable/2.jpg","NA"
"1261607","Yes","beverage","Content/beverage/1.jpg","NA"
"1261607","Yes","goat","Content/goat/0.jpg","NA"
"1261607","Yes","hatchet","Content/hatchet/0.jpg","NA"
"1261606","No","hatchet","Content/hatchet/0.jpg","Content/kiwi/0.jpg"
"1261606","Yes","elephant","Content/elephant/1.jpg","NA"
"1261606","No","flamingo","Content/flamingo/2.jpg","Content/goat/1.jpg"
"1261606","No","duck","Content/duck/0.jpg","Content/lion/0.jpg"
"1261606","No","hug","Content/hug/0.jpg","Content/sleep/1.jpg"
"1261606","Yes","broccoli","Content/broccoli/0.jpg","NA"
"1261606","Yes","panda","Content/panda/0.jpg","NA"
"1261606","No","hexagon","Content/hexagon/1.jpg","Content/square/1.jpg"
"1261606","No","parallelogram","Content/parallelogram/1.jpg","Content/square/0.jpg"
"1261606","No","carpenter","Content/carpenter/0.jpg","Content/chef/1.jpg"
"1261606","Yes","drum","Content/drum/0.jpg","NA"
"1261606","No","chef","Content/chef/0.jpg","Content/carpenter/1.jpg"
"1261606","Yes","bear","Content/bear/1.jpg","NA"
"1261606","No","harp","Content/harp/1.jpg","Content/globe/0.jpg"
"1261606","Yes","vase","Content/vase/0.jpg","NA"
"1261606","No","globe","Content/globe/0.jpg","Content/kiwi/0.jpg"
"1261606","Yes","triangle","Content/triangle/1.jpg","NA"
"1261606","No","vegetable","Content/vegetable/2.jpg","Content/beverage/0.jpg"
"1261606","Yes","beverage","Content/beverage/1.jpg","NA"
"1261606","Yes","goat","Content/goat/0.jpg","NA"
"1261605","Yes","hatchet","Content/hatchet/1.jpg","NA"
"1261605","Yes","elephant","Content/elephant/0.jpg","NA"
"1261605","Yes","flamingo","Content/flamingo/2.jpg","NA"
"1261605","Yes","duck","Content/duck/1.jpg","NA"
"1261605","Yes","hug","Content/hug/1.jpg","NA"
"1261605","Yes","broccoli","Content/broccoli/0.jpg","NA"
"1261605","Yes","panda","Content/panda/0.jpg","NA"
"1261605","No","hexagon","Content/hexagon/0.jpg","Content/pentagon/1.jpg"
"1261605","No","parallelogram","Content/parallelogram/0.jpg","Content/triangle/1.jpg"
"1261605","No","carpenter","Content/carpenter/1.jpg","Content/dentist/1.jpg"
"1261605","Yes","drum","Content/drum/1.jpg","NA"
"1261605","Yes","chef","Content/chef/1.jpg","NA"
"1261605","Yes","bear","Content/bear/0.jpg","NA"
"1261605","No","harp","Content/harp/0.jpg","Content/vest/0.jpg"
"1261605","No","vase","Content/vase/1.jpg","Content/clarinet/1.jpg"
"1261605","No","globe","Content/globe/1.jpg","Content/vegetable/0.jpg"
"1261605","No","triangle","Content/triangle/0.jpg","Content/square/0.jpg"
"1261605","Yes","vegetable","Content/vegetable/2.jpg","NA"
"1261605","No","beverage","Content/beverage/1.jpg","Content/cactus/1.jpg"
"1261605","Yes","goat","Content/goat/1.jpg","NA"
"1261604","Yes","hatchet","Content/hatchet/0.jpg","NA"
"1261604","Yes","elephant","Content/elephant/1.jpg","NA"
"1261604","No","flamingo","Content/flamingo/0.jpg","Content/zebra/1.jpg"
"1261604","Yes","duck","Content/duck/0.jpg","NA"
"1261604","Yes","hug","Content/hug/0.jpg","NA"
"1261604","Yes","broccoli","Content/broccoli/0.jpg","NA"
"1261604","No","panda","Content/panda/0.jpg","Content/zebra/1.jpg"
"1261604","Yes","hexagon","Content/hexagon/1.jpg","NA"
"1261604","No","parallelogram","Content/parallelogram/1.jpg","Content/pentagon/0.jpg"
"1261604","No","carpenter","Content/carpenter/0.jpg","Content/dentist/0.jpg"
"1261604","Yes","drum","Content/drum/0.jpg","NA"
"1261604","No","chef","Content/chef/0.jpg","Content/athlete/0.jpg"
"1261604","Yes","bear","Content/bear/1.jpg","NA"
"1261604","Yes","harp","Content/harp/1.jpg","NA"
"1261604","Yes","vase","Content/vase/0.jpg","NA"
"1261604","Yes","globe","Content/globe/0.jpg","NA"
"1261604","Yes","triangle","Content/triangle/1.jpg","NA"
"1261604","No","vegetable","Content/vegetable/0.jpg","Content/kiwi/0.jpg"
"1261604","Yes","beverage","Content/beverage/0.jpg","NA"
"1261604","Yes","goat","Content/goat/0.jpg","NA"
"1261603","Yes","hatchet","Content/hatchet/1.jpg","NA"
"1261603","Yes","elephant","Content/elephant/0.jpg","NA"
"1261603","Yes","flamingo","Content/flamingo/1.jpg","NA"
"1261603","Yes","duck","Content/duck/1.jpg","NA"
"1261603","Yes","hug","Content/hug/1.jpg","NA"
"1261603","Yes","broccoli","Content/broccoli/0.jpg","NA"
"1261603","Yes","panda","Content/panda/0.jpg","NA"
"1261603","Yes","hexagon","Content/hexagon/0.jpg","NA"
"1261603","No","parallelogram","Content/parallelogram/0.jpg","Content/square/0.jpg"
"1261603","No","carpenter","Content/carpenter/1.jpg","Content/chef/1.jpg"
"1261603","Yes","drum","Content/drum/1.jpg","NA"
"1261603","Yes","chef","Content/chef/1.jpg","NA"
"1261603","Yes","bear","Content/bear/0.jpg","NA"
"1261603","Yes","harp","Content/harp/0.jpg","NA"
"1261603","No","vase","Content/vase/1.jpg","Content/globe/0.jpg"
"1261603","No","globe","Content/globe/1.jpg","Content/beverage/1.jpg"
"1261603","Yes","triangle","Content/triangle/0.jpg","NA"
"1261603","Yes","vegetable","Content/vegetable/1.jpg","NA"
"1261603","No","beverage","Content/beverage/2.jpg","Content/globe/1.jpg"
"1261603","Yes","goat","Content/goat/1.jpg","NA"
"1261602","No","hatchet","Content/hatchet/0.jpg","Content/globe/1.jpg"
"1261602","No","elephant","Content/elephant/1.jpg","Content/goat/0.jpg"
"1261602","Yes","flamingo","Content/flamingo/1.jpg","NA"
"1261602","Yes","duck","Content/duck/0.jpg","NA"
"1261602","Yes","hug","Content/hug/0.jpg","NA"
"1261602","Yes","broccoli","Content/broccoli/0.jpg","NA"
"1261602","Yes","panda","Content/panda/0.jpg","NA"
"1261602","No","hexagon","Content/hexagon/1.jpg","Content/parallelogram/0.jpg"
"1261602","No","parallelogram","Content/parallelogram/1.jpg","Content/square/0.jpg"
"1261602","No","carpenter","Content/carpenter/0.jpg","Content/dentist/1.jpg"
"1261602","Yes","drum","Content/drum/0.jpg","NA"
"1261602","No","chef","Content/chef/0.jpg","Content/athlete/0.jpg"
"1261602","Yes","bear","Content/bear/1.jpg","NA"
"1261602","No","harp","Content/harp/1.jpg","Content/globe/0.jpg"
"1261602","No","vase","Content/vase/0.jpg","Content/beverage/1.jpg"
"1261602","No","globe","Content/globe/0.jpg","Content/kiwi/0.jpg"
"1261602","Yes","triangle","Content/triangle/1.jpg","NA"
"1261602","No","vegetable","Content/vegetable/1.jpg","Content/kiwi/1.jpg"
"1261602","Yes","beverage","Content/beverage/2.jpg","NA"
"1261602","Yes","goat","Content/goat/0.jpg","NA"
"1261601","No","hatchet","Content/hatchet/1.jpg","Content/vest/1.jpg"
"1261601","Yes","elephant","Content/elephant/0.jpg","NA"
"1261601","Yes","flamingo","Content/flamingo/1.jpg","NA"
"1261601","Yes","duck","Content/duck/1.jpg","NA"
"1261601","Yes","hug","Content/hug/1.jpg","NA"
"1261601","Yes","broccoli","Content/broccoli/0.jpg","NA"
"1261601","Yes","panda","Content/panda/0.jpg","NA"
"1261601","No","hexagon","Content/hexagon/0.jpg","Content/pentagon/1.jpg"
"1261601","No","parallelogram","Content/parallelogram/0.jpg","Content/circle/1.jpg"
"1261601","No","carpenter","Content/carpenter/1.jpg","Content/dentist/0.jpg"
"1261601","Yes","drum","Content/drum/1.jpg","NA"
"1261601","No","chef","Content/chef/1.jpg","Content/dentist/0.jpg"
"1261601","Yes","bear","Content/bear/0.jpg","NA"
"1261601","Yes","harp","Content/harp/0.jpg","NA"
"1261601","No","vase","Content/vase/1.jpg","Content/drum/0.jpg"
"1261601","Yes","globe","Content/globe/1.jpg","NA"
"1261601","Yes","triangle","Content/triangle/0.jpg","NA"
"1261601","Yes","vegetable","Content/vegetable/1.jpg","NA"
"1261601","No","beverage","Content/beverage/2.jpg","Content/vest/0.jpg"
"1261601","Yes","goat","Content/goat/1.jpg","NA"
